type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Mary Whitall Berenson,exact,,Mary Whitall Berenson,true,
loc,I Tatti,,,,,
loc,Settignano,exact,,Settignano,,
loc,Florence,exact,,Florence,true,
loc,America,exact,,America,true,
date,September 1930,,,,,
misc,R.M.S. Majestic,,,,,name of ship
misc,White Star,,,,,name of ship
date,"Wenesday, Sept. 30, 1903",,,,,
loc,Liverpool,,,,,
per,Turner,exact,,Turner,true,
per,Whistler,,,,,
loc,England,exact,,England,true,
per,Bernhard,exact,,Bernhard,true,
loc,The Reef,,,,,
loc,"Newport, R.I.",,,,,
date,"Thursday, Oct. 8, 1903",,,,,
misc,The Arabian Nights,,,,,title of a work
per,Mardus,,,,,
per,Grace,,,,,
per,Bond's new wife,,,,,identified by relationship
per,Edith,exact,,Edith,true,
loc,Greek restaurant,,,,,
loc,New York,exact,,New York,true,
per,Mr. Davis,,,,,
loc,the quay,,,,,
per,B.B.,,,,,
per,Jimmy Whiskers,,,,,
per,Davis,exact,,Davis,true,
date,3000 B.C.,,,,,
loc,Liberia,exact,,Liberia,true,
per,Mother Superior,,,,,
date,"Friday, Oct. 9, 1903",,,,,
loc,Spain,exact,,Spain,true,
per,Mr. and Mrs. Fearing,,,,,
per,Terence Bourke,exact,,Terence Bourke,true,
date,"Saturday, Oct. 10, 1903",,,,,
per,Mrs. Andrews,,,,,
per,J. Gordon Kugler,exact,,J. Gordon Kugler,true,
misc,The South,,,,,title of a work
per,Sophy Buffum,exact,,Sophy Buffum,true,
loc,Europe,exact,,Europe,true,
per,Miss Busk,,,,,
misc,Bridge,,partial,Cambridge,,title of a game
date,"Sunday, Oct. 11, 1903",,,,,
misc,Forgery,,,,,title of a work
misc,Tricca-Leonardo,,,,,title of a work
misc,Logan,exact,,Logan,,title of a work
org,Philharmonic orchestra,,,,,
loc,Boston,exact,,Boston,true,
org,New York Theatre,,,,,
per,Mr. Longyear of Marquette,,,,,
per,Mr. Coates,,,,,
per,Mr. Berevin,,,,,
per,Mr. Taylor,,,,,
per,Mrs. Winty Chandler,,,,,
loc,Egypt,exact,,Egypt,true,
loc,Tomb of Totmes IV,,,,,
per,Queen Hatasu,exact,,Queen Hatasu,true,
loc,189 Grampian Way,,,,,
loc,Dorchester,exact,,Dorchester,true,
date,"Monday, Oct. 12, 1903",,,,,
loc,Old Point,,,,,
per,Grandpa Cope,,,,,
per,Rachel,exact,,Rachel,true,
per,Miss Sellers,,,,,
date,"Tuesday, Oct. 13, 1903",,,,,
date,"Wednesday, Oct. 14, 1903",,,,,
loc,Blue Hill,,,,,
date,"Thursday, Oct. 15, 1903",,,,,
loc,Cambridge,exact,,Cambridge,true,
per,Mrs. Toy,,,,,
per,Santayana,exact,,Santayana,true,
per,Leslie Hopkinson,exact,,Leslie Hopkinson,true,
per,Mr. Andrew,,,,,
misc,Orchestrelle,,,,,instrument
date,"Friday, Oct. 16, 1903",,,,,
loc,Willowbrook Cottage,exact,,Willowbrook Cottage,,
per,Beverly,exact,,Beverly,,
per,Gertrude,exact,,Gertrude,true,
per,Mrs. Tyler,,,,,
per,Brother Charles,,,,,
per,Rabbi Fleischer,,,,,
misc,Democracy,,,,,concept
per,Michliszanski,,,,,
per,Goldman,,,,,
per,Tolstoi,,,,,
per,Hinda Coen,exact,,Hinda Coen,true,
per,Schwarz,,,,,
per,James,exact,,James,true,
loc,Green Hill,exact,,Green Hill,,
loc,Brookline,exact,,Brookline,true,
date,"Saturday, Oct. 17, 1903",,,,,
per,Mrs. Jack Gardner,,,,,
per,Mrs. Gardner,,,,,
per,Proctor the musician,,,,,
misc,Symphony Concert,,,,,type of event
per,Tschaikowski,exact,,Tschaikowski,,
per,Bruneau,exact,,Bruneau,true,
per,Brahms,exact,,Brahms,true,
per,Mrs. Sarah Whitman,,,,,
misc,Prof. of Ethics,,,,,professional title
per,Josiah Royce,exact,,Josiah Royce,true,
per,Bob,,,,,
per,George Moore,exact,,George Moore,true,
per,the philosopher,,,,,identified by professional title rather than name
per,Mrs. Parkman,,,,,
per,Mr. and Mrs. Higginson,,,,,
date,"Sunday, Oct. 18, 1903",,,,,
loc,Arboretum,,,,,
loc,Country Club,,partial,the Country Club,,
per,Mr. Dwight,,,,,
per,Mr. Swift,,,,,
per,Rockefeller,,,,,
per,Mr. Strong,,,,,
loc,Lakewood,exact,,Lakewood,true,
date,"Monday, Oct. 19, 1903",,,,,
loc,Library,,,,,
misc,The Puvis',,,,,indicators of works of art
loc,Bates Hall,exact,,Bates Hall,,
misc,The Abbeys,,,,,indicators of works of art
misc,Sargeants,,,,,indicators of works of art
per,Evelyn,,,,,
per,Ellen Hale,exact,,Ellen Hale,true,
per,Edward Everett Hale,exact,,Edward Everett Hale,true,
per,Mr. John Grey,,,,,
per,Clayton Johns,exact,,Clayton Johns,true,
date,"Tuesday, Oct. 20, 1903",,,,,
per,Helen Hopekirk (Wilson),,,,,
loc,Art Museum,,,,,
misc,curator,,,,,professional title
per,Chaflin,,,,,
date,1250,exact,,1250,true,
loc,Museum,,,,,
per,Gerricke,,,,,
loc,Jordan Hall,exact,,Jordan Hall,,
loc,Conservatory Building,,,,,
misc,C major toccata,,,,,title of a work
per,Bach,exact,,Bach,true,
per,Mr. Higginson,,,,,
per,Schumann,exact,,Schumann,true,
per,Chaplin,exact,,Chaplin,true,
misc,Eroica,exact,,Eroica,,title of a work
per,Mr. and Mrs. Lang,,,,,
date,"Wednesday, Oct. 21, 1903",,,,,
per,T.H. Perry,,,,,
loc,Franklin Park,exact,,Franklin Park,,
per,Owen Wister,exact,,Owen Wister,true,
misc,The Virginian,,,,,title of a work
per,Dunstan Farnum,exact,,Dunstan Farnum,true,
per,Webster,exact,,Webster,true,
loc,Virginia,exact,,Virginia,true,
date,"Thursday, Oct. 22, 1903",,,,,
per,Mr. Ross (Denman),,,,,
per,Mr. Theodore Dwight,,,,,
per,Mr. Owen Wister,,,,,
